job_id,work_year,employee_residence,experience_level,employment_type,employment_type_full,company_size,job_title,location_id
job_65,2020,ESP,Mid-level/Intermediate,FT,Full-Time,M,Data Scientist,10
job_66,2020,AUT,Senior-level/Expert,FT,Full-Time,S,Data Scientist,9
job_67,2020,FRA,Mid-level/Intermediate,FT,Full-Time,S,Data Scientist,22
job_68,2020,USA,Senior-level/Expert,FT,Full-Time,M,Data Scientist,3
job_69,2020,USA,Mid-level/Intermediate,FT,Full-Time,M,Data Scientist,3
job_70,2020,USA,Mid-level/Intermediate,FT,Full-Time,M,Data Scientist,3
job_71,2020,ESP,Mid-level/Intermediate,FT,Full-Time,M,Data Engineer,3
job_72,2020,HRV,Senior-level/Expert,FT,Full-Time,S,Machine Learning Engineer,23
job_73,2020,USA,Senior-level/Expert,FT,Full-Time,L,Data Scientist,3
job_74,2020,USA,Entry-level/Junior,FT,Full-Time,S,Data Scientist,3
job_75,2020,USA,Entry-level/Junior,CT,Contract,L,Business Data Analyst,3
job_76,2021,USA,Senior-level/Expert,FT,Full-Time,M,Staff Machine Learning Engineer,3
job_77,2021,GHA,Mid-level/Intermediate,PT,Part-Time,M,Business Data Analyst,3
job_78,2021,NGA,Senior-level/Expert,FL,Freelance,M,Machine Learning Developer,5
job_79,2021,USA,Mid-level/Intermediate,FT,Full-Time,M,Data Scientist,3
job_80,2021,GHA,Mid-level/Intermediate,FT,Full-Time,S,AI Scientist,24
job_81,2021,SGP,Entry-level/Junior,FT,Full-Time,L,Marketing Data Engineer,25
job_82,2021,IND,Senior-level/Expert,FT,Full-Time,L,Data Scientist,18
job_83,2021,IND,Mid-level/Intermediate,FT,Full-Time,L,Data Analyst,18
job_84,2021,USA,Senior-level/Expert,FT,Full-Time,S,Data Analyst,3
job_85,2021,ASM,Mid-level/Intermediate,FL,Freelance,M,Autonomous Vehicle Technician,26
job_86,2021,AUS,Mid-level/Intermediate,FT,Full-Time,L,Data Engineer,27
job_87,2021,AUS,Entry-level/Junior,FT,Full-Time,L,Data Analyst,27
job_88,2021,FRA,Entry-level/Junior,FT,Full-Time,M,Machine Learning Research Engineer,8
job_89,2021,THA,Entry-level/Junior,FT,Full-Time,L,Machine Learning Developer,28
job_90,2021,GBR,Entry-level/Junior,FT,Full-Time,L,Data Engineer,11
job_91,2021,DNK,Entry-level/Junior,PT,Part-Time,L,Computer Vision Software Engineer,20
job_92,2021,PHL,Senior-level/Expert,FT,Full-Time,S,Data Analyst,29
job_93,2021,USA,Senior-level/Expert,FT,Full-Time,L,Cloud Data Architect,3
job_94,2021,ITA,Mid-level/Intermediate,FT,Full-Time,L,Machine Learning Engineer,21
